Time,Latitude,Longitude
435.0,36.07680989,-87.01778504
437.0,36.0768419,-87.01747374
439.0,36.07687646,-87.01708816
440.0,36.07691019,-87.01685948
441.0,36.0769203,-87.0166161
442.0,36.07693815,-87.01636934
443.0,36.0769629,-87.01611103
444.0,36.07697254,-87.01588357
445.0,36.07698328,-87.01564283
446.0,36.0769942,-87.01538316
447.0,36.07700928,-87.0151074
448.0,36.07702333,-87.01481317
449.0,36.0770263,-87.0145259
450.0,36.07703372,-87.01423162
451.0,36.07704048,-87.01392183
452.0,36.07704962,-87.01360491
453.0,36.0770551,-87.01327684
454.0,36.07706078,-87.01293621
455.0,36.07706928,-87.01258966
456.0,36.07707684,-87.01224902
457.0,36.07708176,-87.01192153
458.0,36.07708699,-87.01158624
459.0,36.07708894,-87.01124607
460.0,36.07709109,-87.01090982
461.0,36.07709665,-87.01057402
462.0,36.07710169,-87.01023418
463.0,36.07710917,-87.00990129
464.0,36.07711703,-87.0095636
465.0,36.07712794,-87.00922807
466.0,36.07713728,-87.00888792
467.0,36.07715166,-87.00853991
468.0,36.07716639,-87.00820022
469.0,36.07717975,-87.0078521
470.0,36.07719201,-87.00750634
471.0,36.07719102,-87.00714027
472.0,36.07720953,-87.00679272
473.0,36.07722012,-87.00645354
474.0,36.07723526,-87.00613128
475.0,36.07725502,-87.00579518
476.0,36.07727193,-87.00545346
477.0,36.07728843,-87.00511311
478.0,36.07730786,-87.00478317
479.0,36.07733073,-87.00443838
480.0,36.07734627,-87.00409908
481.0,36.07736469,-87.00375791
482.0,36.07737751,-87.0034086
483.0,36.07740072,-87.0030606
484.0,36.07741861,-87.00269914
485.0,36.07743524,-87.00232846
486.0,36.07745681,-87.00195271
487.0,36.07748162,-87.00157726
488.0,36.07749917,-87.00120347
489.0,36.07751667,-87.00082122
490.0,36.07753097,-87.00045461
491.0,36.07754945,-87.00008435
492.0,36.07756597,-86.99971814
493.0,36.07758827,-86.99936044
494.0,36.0776049,-86.99900102
495.0,36.07762013,-86.99863807
496.0,36.07763773,-86.99827989
497.0,36.07764874,-86.99792355
498.0,36.07766775,-86.99757446
